Id,Category
0,1
1,7
2,1
3,1
4,4
5,1
6,5
7,1
8,4
9,7
10,1
11,1
12,7
13,0
14,1
15,5
16,1
17,1
18,7
19,1
20,1
21,0
22,1
23,6
24,7
25,5
26,4
27,5
28,1
29,6
30,6
31,7
32,1
33,1
34,7
35,6
36,7
37,7
38,1
39,0
40,4
41,5
42,1
43,7
44,1
45,1
46,1
47,6
48,7
49,7
50,4
51,1
52,1
53,4
54,4
55,4
56,1
57,7
58,7
59,6
60,6
61,1
62,6
63,1
64,1
65,1
66,4
67,0
68,5
69,6
70,1
71,5
72,6
73,7
74,1
75,7
76,1
77,1
78,1
79,4
80,7
81,1
82,1
83,1
84,7
85,7
86,1
87,1
88,6
89,2
90,1
91,1
92,4
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,4
102,4
103,7
104,1
105,7
106,5
107,1
108,7
109,4
110,6
111,1
112,1
113,7
114,4
115,1
116,1
117,6
118,7
119,1
120,7
121,7
122,4
123,1
124,6
125,1
126,6
127,1
128,1
129,6
130,6
131,6
132,1
133,7
134,1
135,1
136,1
137,5
138,0
139,1
140,5
141,1
142,5
143,1
144,1
145,6
146,0
147,7
148,4
149,4
150,4
151,4
152,1
153,7
154,1
155,1
156,6
157,1
158,0
159,1
160,1
161,4
162,6
163,0
164,1
165,5
166,7
167,0
168,1
169,1
170,5
171,7
172,7
173,1
174,6
175,7
176,6
177,7
178,1
179,5
180,1
181,1
182,6
183,1
184,1
185,1
186,7
187,1
188,4
189,7
190,6
191,4
192,1
193,5
194,4
195,5
196,7
197,1
198,1
199,7
200,4
201,1
202,1
203,4
204,5
205,1
206,1
207,1
208,1
209,5
210,7
211,6
212,1
213,6
214,1
215,4
216,5
217,4
218,0
219,7
220,4
221,0
222,7
223,4
224,1
225,4
226,4
227,1
228,4
229,7
230,5
231,1
232,7
233,2
234,4
235,1
236,1
237,1
238,1
239,1
240,1
241,7
242,5
243,1
244,6
245,4
246,4
247,1
248,1
249,5
250,1
251,1
252,6
253,1
254,0
255,1
256,7
257,4
258,7
259,1
260,7
261,0
262,6
263,5
264,1
265,4
266,7
267,6
268,4
269,4
270,4
271,1
272,1
273,6
274,6
275,1
276,7
277,4
278,7
279,5
280,1
281,0
282,6
283,6
284,1
285,7
286,4
287,7
288,1
289,1
290,4
291,1
292,1
293,4
294,1
295,6
296,2
297,1
298,6
299,1
300,4
301,0
302,7
303,1
304,7
305,7
306,6
307,1
308,4
309,7
310,6
311,1
312,0
313,4
314,4
315,5
316,5
317,1
318,1
319,4
320,9
321,7
322,7
323,5
324,7
325,5
326,7
327,1
328,5
329,1
330,6
331,6
332,6
333,1
334,1
335,5
336,6
337,7
338,1
339,4
340,1
341,2
342,1
343,7
344,6
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,4
353,1
354,4
355,6
356,1
357,1
358,7
359,1
360,1
361,1
362,6
363,0
364,1
365,1
366,7
367,6
368,7
369,1
370,7
371,1
372,1
373,1
374,5
375,4
376,7
377,6
378,4
379,1
380,1
381,0
382,1
383,1
384,7
385,6
386,1
387,7
388,5
389,7
390,6
391,1
392,6
393,1
394,7
395,6
396,1
397,7
398,1
399,7
400,1
401,2
402,4
403,1
404,2
405,1
406,4
407,1
408,4
409,1
410,1
411,7
412,6
413,5
414,1
415,1
416,0
417,1
418,4
419,1
420,1
421,6
422,4
423,6
424,1
425,5
426,4
427,6
428,4
429,1
430,1
431,5
432,1
433,1
434,1
435,1
436,7
437,1
438,1
439,1
440,1
441,1
442,1
443,7
444,5
445,7
446,7
447,7
448,7
449,1
450,7
451,4
452,1
453,7
454,1
455,4
456,1
457,1
458,1
459,4
460,6
461,1
462,1
463,5
464,7
465,1
466,1
467,5
468,5
469,7
470,1
471,6
472,1
473,1
474,1
475,1
476,1
477,1
478,4
479,0
480,7
481,1
482,1
483,5
484,4
485,7
486,0
487,4
488,7
489,1
490,4
491,1
492,1
493,0
494,1
495,1
496,4
497,1
498,1
499,1
500,4
501,6
502,1
503,1
504,4
505,1
506,1
507,2
508,1
509,7
510,1
511,1
512,4
513,7
514,1
515,1
516,1
517,0
518,1
519,1
520,7
521,0
522,7
523,1
524,7
525,4
526,1
527,1
528,1
529,4
530,6
531,1
532,4
533,7
534,1
535,7
536,1
537,1
538,0
539,4
540,1
541,1
542,1
543,4
544,4
545,1
546,4
547,0
548,4
549,4
550,1
551,4
552,5
553,4
554,0
555,1
556,4
557,4
558,7
559,1
560,1
561,7
562,1
563,6
564,5
565,1
566,7
567,1
568,1
569,4
570,1
571,7
572,7
573,1
574,1
575,1
576,1
577,1
578,4
579,1
580,4
581,1
582,1
583,5
584,7
585,6
586,2
587,5
588,1
589,4
590,4
591,0
592,1
593,1
594,1
595,1
596,6
597,7
598,4
599,1
600,7
601,1
602,0
603,1
604,7
605,0
606,4
607,4
608,5
609,0
610,7
611,1
612,5
613,1
614,1
615,7
616,5
617,1
618,1
619,7
620,1
621,1
622,4
623,1
624,1
625,1
626,1
627,1
628,6
629,4
630,0
631,1
632,5
633,1
634,7
635,1
636,1
637,1
638,1
639,4
640,1
641,7
642,1
643,1
644,1
645,7
646,1
647,7
648,1
649,7
650,1
651,7
652,1
653,1
654,1
655,1
656,1
657,4
658,4
659,7
660,1
661,7
662,5
663,1
664,1
665,5
666,0
667,6
668,4
669,1
670,1
671,6
672,1
673,1
674,6
675,7
676,1
677,1
678,1
679,5
680,1
681,1
682,7
683,1
684,0
685,1
686,4
687,0
688,1
689,7
690,1
691,4
692,4
693,1
694,7
695,1
696,4
697,5
698,1
699,1
700,5
701,1
702,4
703,1
704,1
705,7
706,7
707,1
708,1
709,7
710,1
711,1
712,0
713,4
714,1
715,7
716,1
717,1
718,7
719,4
720,1
721,0
722,4
723,1
724,4
725,1
726,4
727,5
728,7
729,1
730,4
731,7
732,7
733,4
734,1
735,4
736,1
737,4
738,1
739,6
740,1
741,7
742,1
743,1
744,1
745,7
746,6
747,4
748,7
749,7
750,1
751,1
752,1
753,1
754,1
755,1
756,6
757,4
758,5
759,2
760,7
761,1
762,7
763,1
764,1
765,1
766,5
767,6
768,1
769,1
770,5
771,6
772,0
773,7
774,7
775,1
776,0
777,1
778,7
779,7
780,7
781,0
782,1
783,1
784,7
785,1
786,5
787,4
788,0
789,4
790,5
791,4
792,1
793,4
794,5
795,1
796,7
797,1
798,7
799,4
800,7
801,1
802,7
803,5
804,1
805,1
806,1
807,1
808,4
809,4
810,6
811,7
812,6
813,7
814,1
815,4
816,7
817,7
818,6
819,0
820,7
821,1
822,1
823,0
824,7
825,7
826,7
827,1
828,1
829,1
830,7
831,1
832,7
833,2
834,1
835,1
836,7
837,1
838,1
839,1
840,7
841,6
842,1
843,7
844,7
845,4
846,6
847,0
848,0
849,0
850,5
851,1
852,2
853,1
854,6
855,7
856,1
857,1
858,0
859,7
860,4
861,7
862,5
863,6
864,4
865,7
866,0
867,6
868,7
869,6
870,1
871,5
872,1
873,1
874,4
875,7
876,1
877,4
878,1
879,1
880,4
881,6
882,4
883,1
884,7
885,7
886,1
887,0
888,1
889,7
890,7
891,1
892,1
893,1
894,1
895,1
896,7
897,1
898,7
899,1
900,1
901,7
902,1
903,4
904,1
905,1
906,7
907,1
908,1
909,2
910,1
911,4
912,1
913,7
914,1
915,5
916,1
917,1
918,7
919,7
920,6
921,1
922,4
923,6
924,4
925,0
926,7
927,7
928,6
929,1
930,4
931,4
932,2
933,0
934,6
935,1
936,4
937,1
938,1
939,1
940,1
941,1
942,1
943,7
944,5
945,1
946,0
947,1
948,1
949,7
950,1
951,1
952,1
953,1
954,1
955,1
956,4
957,1
958,1
959,1
960,1
961,1
962,1
963,0
964,5
965,0
966,7
967,7
968,7
969,0
970,1
971,1
972,4
973,1
974,1
975,7
976,1
977,1
978,1
979,3
980,5
981,1
982,0
983,1
984,4
985,7
986,4
987,1
988,4
989,6
990,5
991,5
992,1
993,7
994,1
995,1
996,4
997,5
998,7
999,6
1000,0
1001,1
1002,0
1003,1
1004,5
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,7
1012,1
1013,6
1014,7
1015,7
1016,4
1017,0
1018,0
1019,2
1020,6
1021,1
1022,4
1023,4
1024,7
1025,1
1026,4
1027,1
1028,1
1029,1
1030,2
1031,7
1032,4
1033,1
1034,1
1035,5
1036,0
1037,6
1038,4
1039,6
1040,4
1041,1
1042,7
1043,1
1044,1
1045,1
1046,1
1047,6
1048,0
1049,4
1050,0
1051,0
1052,1
1053,1
1054,1
1055,6
1056,5
1057,1
1058,5
1059,7
1060,0
1061,1
1062,1
1063,1
1064,4
1065,7
1066,6
1067,6
1068,1
1069,0
1070,1
1071,1
1072,7
1073,1
1074,1
1075,1
1076,7
1077,6
1078,1
1079,1
1080,5
1081,0
1082,1
1083,1
1084,1
1085,1
1086,7
1087,0
1088,1
1089,1
1090,7
1091,1
1092,1
1093,0
1094,0
1095,1
1096,5
1097,1
1098,6
1099,4
1100,7
1101,1
1102,7
1103,1
1104,1
1105,1
1106,6
1107,1
1108,7
1109,1
1110,7
1111,6
1112,7
1113,6
1114,1
1115,0
1116,5
1117,1
1118,4
1119,1
1120,5
1121,1
1122,1
1123,6
1124,1
1125,1
1126,6
1127,1
1128,6
1129,1
1130,7
1131,0
1132,6
1133,1
1134,7
1135,1
1136,5
1137,7
1138,1
1139,7
1140,5
1141,1
1142,1
1143,7
1144,1
