Randomly generated (X1, X2) coordinate pairs:
(3.7521175467, 8.16282191925)
(3.73391265331, 3.73692789908)
(2.70265892424, 4.26963073306)
(4.86408111135, 4.68777535408)
(4.04996547861, 8.52137345053)
(0.233585312481, 2.15123211979)
(4.6041917731, 7.2489443482)
(7.61034713427, 10.9542777426)
(4.72002603227, 5.12168028497)
(5.41094430384, 5.16519508061)
(0.459242421478, 8.11592405812)
(1.78226363989, 7.06870992236)
(2.116677488, 3.80815299087)
(4.28912284523, 3.73386111723)
(-1.20508177032, 3.05643076294)
(3.59804401979, 4.11822629615)
(5.51393190387, 6.86667784866)
(8.36242717957, 9.53571465398)
(5.4260122171, 5.91928259072)
(2.7537091697, 4.93237819492)
(2.04891141963, 7.32403449486)
(0.748471184937, 4.62601087149)
(4.15245649992, 5.94312110212)
(1.78357721872, 6.26133256458)
(10.0761489622, 6.77027228948)
(0.138413300709, 2.53665664087)
(6.99021469216, 6.1641337023)
(4.87779171263, 5.39949550732)
(2.18027215697, 3.58818823937)
(4.37601828977, 7.37743391943)
(-0.403906529854, 5.81261300152)
(7.238750534, 10.6662821816)
(5.28203164971, 2.94781817055)
(1.47698398904, 8.20416053038)
(7.20651817719, 9.41422367258)
(3.49733793096, 6.45590328222)
(-1.69876384519, 5.79097651739)
(2.27003188283, 3.37284905493)
(5.30524529387, 7.11735793531)
(-0.708743055773, 0.482898466813)
(4.2870282026, 4.44456096796)
(1.72207660836, 5.89640056627)
(-1.6517916951, 4.71782119047)
(3.64688496845, 3.66853483026)
(-2.2827375063, 5.97301417881)
(7.25073767216, 6.37548725623)
(0.0219264150681, 6.96496629942)
(2.74697859131, 6.87842980029)
(0.9756375313, 4.84214203557)
(4.76849265075, 6.66296858189)
(2.16081243452, 5.45820445858)
(1.24863153362, 2.99793038347)
(4.75858704212, 9.8135639022)
(4.89645001619, 7.34263981384)
(6.42608031055, 7.02770794576)
(-1.02759017108, 2.09117174852)
(3.66932901205, 4.41362239498)
(-1.08946594404, 7.15087615645)
(-1.76798897241, 7.52923836434)
(0.995156340805, 4.60838990299)
(4.42938055378, 5.96424552889)
(2.8934711714, 5.22153654127)
(-0.596211986939, 2.72329479959)
(-1.46150025031, 4.4853773386)
(-1.16934708588, 2.26598335086)
(5.59908657819, 5.52978970593)
(5.70448750525, 7.38130788361)
(-0.0187030345345, 3.90452664791)
(-1.1393847661, 4.36508787994)
(0.569516503028, 3.73446717284)
(5.47268425414, 8.26298109484)
(2.6891642399, 5.51421415364)
(1.08901866141, 2.37888154817)
(3.18606821271, 4.88315663582)
(3.64956226008, 7.85649646802)
(-3.81778994737, 0.420001763923)
(3.20750224283, 2.96644376565)
(-0.60486149933, 3.8036331458)
(2.05047250718, 7.48677710128)
(5.10477389266, 6.04332776735)
(1.54512778571, 4.82244209302)
(9.051931535, 7.96438147131)
(3.10644302141, 9.89500236358)
(4.04500482586, 6.99686365435)
(5.82984625996, 5.20447418659)
(5.07670223739, 5.22255409667)
(0.977815451684, 3.96130215949)
(2.56488355916, 7.50649118358)
(-3.11286944807, 2.40380193893)
(1.76053573535, 3.57379389433)
(2.35464075444, 5.87572003681)
(4.16260353484, 5.8968119939)
(8.84843453206, 8.97763053233)
(4.28992162475, 4.03992119306)
(3.06456772803, 7.01061363361)
(2.04998482517, 8.03397479395)
(5.25272084205, 3.91833857725)
(2.37940197049, 6.64065930299)
(-0.0119824838814, 4.41464457074)
(8.53727739727, 8.21954678402)


Mean of the sample: (2.91981557591, 5.64059149046)

2x2 Covariance Matrix:
[ 8.31478388898  3.34988838329 ]
[ 3.34988838329  4.61656028265 ]

Eigenvalues and Eigenvectors of the Covariance Matrix:
v1: [ 0.8611786   0.50830249]  λ1: 10.2920236955
v2: [-0.50830249  0.8611786 ]  λ2: 2.63932047611
